id,wd,ovbd,od,mud,sh,lithol,interc,d0,d6,d12,d18,d24,d36,d48,d60,d72,d96,d120,d144
16,1000,500,12.25,10,50,0,0.5,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.98E-05,-3.99E-05,-3.99E-05,-3.99E-05
17,1000,500,12.25,12,50,0,0.5,-2.01E-06,-2.01E-06,-2.01E-06,-2.01E-06,-2.01E-06,-2.01E-06,-2.01E-06,-2.01E-06,-2.01E-06,-2.01E-06,-2.01E-06,-2.01E-06
19,2000,500,17.5,10,50,0,0.5,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05,-3.09E-05
22,2000,500,14.75,10,50,0,0.5,-2.61E-05,-2.61E-05,-2.61E-05,-2.61E-05,-2.61E-05,-2.61E-05,-2.61E-05,-2.61E-05,-2.61E-05,-2.61E-05,-2.61E-05,-2.61E-05
25,2000,500,12.25,10,50,0,0.5,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05,-2.16E-05
28,0,1666.666667,17.5,10,50,0,0.5,-0.000259863,-0.000364962,-0.000402235,-0.000428827,-0.000450049,-0.000484127,-0.000512064,-0.000534966,-0.000556956,-0.000592188,-0.000622702,-0.000649942
29,0,1666.666667,17.5,12,50,0,0.5,-0.000200111,-0.00023496,-0.00025044,-0.000261771,-0.000270664,-0.000288358,-0.000299472,-0.000309278,-0.000318059,-0.000333827,-0.000347626,-0.000359659
30,0,1666.666667,17.5,14,50,0,0.5,-0.000140359,-0.000145969,-0.000149483,-0.000152528,-0.000155546,-0.000159614,-0.000163375,-0.000167138,-0.000169898,-0.000175443,-0.000180443,-0.000185009
31,0,1666.666667,14.75,10,50,0,0.5,-0.00021905,-0.0003076,-0.00033908,-0.000361343,-0.000379312,-0.000408106,-0.000431681,-0.000450975,-0.000469294,-0.000499145,-0.000524723,-0.000547686
32,0,1666.666667,14.75,12,50,0,0.5,-0.000168683,-0.000198098,-0.000211309,-0.000220656,-0.000228195,-0.00024293,-0.000252341,-0.000260625,-0.000268038,-0.000281344,-0.000292976,-0.000303104
33,0,1666.666667,14.75,14,50,0,0.5,-0.000118315,-0.000122949,-0.000125965,-0.000128562,-0.000131137,-0.000134567,-0.000137732,-0.000140903,-0.000143219,-0.000147904,-0.000152158,-0.00015603
34,0,1666.666667,12.25,10,50,0,0.5,-0.000181937,-0.000256977,-0.000282506,-0.000303285,-0.000317372,-0.000340538,-0.000359689,-0.000375731,-0.000390253,-0.000415195,-0.000436506,-0.000455618
35,0,1666.666667,12.25,12,50,0,0.5,-0.000140103,-0.000164894,-0.000175287,-0.000182998,-0.000189243,-0.000201191,-0.000209224,-0.000216224,-0.000222502,-0.000233754,-0.000243571,-0.000252102
